x,y,z
447.651020392563,304.17567765537416,a
396.2123126651443,326.211419448648,a
319.31420258360237,309.282386242568,a
311.949333090265,252.34630455586307,a
242.11815657106743,206.85060427140223,a
268.1810017497835,229.05856622518576,a
211.1932677641001,200.36573065433407,a
259.2251721043426,207.73434995821322,a
261.1949315620357,220.98026585578498,a
303.0567710259301,228.5655821733057,a
328.3347143654948,178.05995394824674,a
372.6466950674233,228.89486067097897,a
416.59747812069116,277.65077228233815,a
407.11663328057386,266.8291455842784,a
467.40765531766516,283.4432586732462,a
434.1941335615039,303.07961155860505,a
445.69493886439585,335.5648440841326,a
444.23316379066534,299.21781664510434,a
385.2906959380552,289.04352531923644,a
311.6445916114906,237.95101219194618,a
311.2697732978278,262.8105090254022,a
232.39617874716865,237.087547586614,a
238.7249515152838,222.75290433833248,a
217.3294164410065,212.58746845382126,a
319.3387339993205,169.6687555460291,a
268.10322816632987,206.27240525895968,a
316.16684757812357,223.19175845477156,a
315.4693656906891,239.9516749637541,a
375.7687028700409,301.15655120024564,a
481.44006991299125,324.06049622766676,a
503.36947868393617,321.1167702007301,a
497.1570277102034,372.04840210617846,a
486.66758351460476,360.36716587187004,a
506.1277579552059,387.03941552087656,a
487.407557252339,399.0081333714896,a
466.31027659098277,347.9104687041641,a
418.135543239386,297.4343980937854,a
358.22406654310066,323.92864825477824,a
334.91215687980525,259.71866154362056,a
331.47453614848564,195.04237067662916,a
320.80950778457884,217.75319493262725,a
282.0255134874111,167.28748172964242,a
304.1815218443013,239.0576216918867,a
286.44154008878877,236.81585876534376,a
366.66130242388937,299.9117368528548,a
379.4116729294655,298.6679204641415,a
418.81112037773704,377.15165142908114,a
472.5851407360759,390.89761376479066,a
495.58400773235826,340.4670783210907,a
477.1156656431452,368.0810787141565,a
475.3992973384913,367.6153675573869,a
496.3357257356722,347.499537329835,a
432.4358807605199,319.527872854914,a
383.28090510571536,273.0460431518439,a
361.6095380895712,243.52375896536972,a
308.41194860185567,281.4267038477848,a
339.31132072263546,264.00570241299556,a
326.74933186850683,255.88782610593847,a
359.80933017681974,255.9810438821413,a
368.5986433786961,226.49227802208276,a
380.53377314709417,310.71177660519174,a
396.6679445154853,322.3867564315401,a
437.50599609849223,332.51236956477976,a
537.9123382985164,357.73091243203464,a
475.54555121848983,305.97085681122655,a
453.290314111115,324.263580331833,a
468.2245075969096,374.6506260325313,a
451.82734741555265,337.2861430093093,a
397.03520204637965,341.899071442967,a
413.90688230737794,269.6232087064021,a
306.8059386561488,202.14714299042174,a
334.33592597715756,198.00885311676598,a
341.04594415658505,209.26827757825833,a
293.8588063947626,147.68999197583213,a
309.56950537186117,191.44100821843557,a
287.1340597875089,167.37480926872797,a
345.8803824701903,247.2641322625362,a
376.9347364956945,237.36469710627392,a
473.4190531023822,302.6430256453161,a
424.8714984937427,266.8473616429867,a
399.69489769818114,296.5881163943815,a
392.2361823526903,344.81227059723346,a
387.5782424877213,305.5087407361434,a
400.468100674214,307.91990148135244,a
434.38027353979,306.089153764128,a
309.2649095179799,280.86114950240534,a
301.21968684454333,280.9985747471732,a
246.8830050616514,201.24187990343285,a
228.53236291091838,247.87246821753567,a
241.09485298693383,237.7548021367095,a
193.33850496421582,145.11078740581218,a
241.58526454025807,197.61391975347175,a
246.30937275271046,186.58324147730855,a
