x,y,z
110.49019302197418,186.45444425113465,a
72.55048818871273,195.34924719018437,a
84.87879047579622,183.92238319460296,a
94.08864688401742,186.51203619096862,a
114.11426122205337,232.53882081083822,a
102.244441964442,226.68454400622562,a
128.98049736200068,242.19861442213488,a
78.44502899073183,218.08079085019602,a
121.78019966445825,287.7647347708214,a
167.8173453753252,271.06346426407663,a
112.91011883358678,291.60687613136474,a
124.70765204138539,287.11868340461706,a
96.06242022614285,261.05012423423847,a
118.43795676364215,253.37288617968,a
118.82532820984561,284.2161721963673,a
101.49170773663849,340.44094946585517,a
142.07816637265796,320.48173877703454,a
146.68174163637775,256.73847094131423,a
149.40721255898322,324.3155986450909,a
169.61844903809677,289.83610425378896,a
147.39060262001763,331.30665594550726,a
103.7416633984524,321.89060217711756,a
146.96904327423584,330.90878963750816,a
198.4688854136516,323.1106748404874,a
181.79655077391013,352.0479108960054,a
130.78333076045186,334.92178460918285,a
155.60865276579827,359.3135131264105,a
136.4501930042607,341.76504695893635,a
166.46366318755724,333.6936663262905,a
172.18156848273873,398.80588788694604,a
160.31278491617,365.06872840719177,a
182.52537256950714,373.25217976653914,a
205.3953256682728,318.7763401155951,a
209.22153377248034,345.6210203034885,a
193.45746052486575,345.6165514714886,a
180.37650602631302,389.3528583242119,a
172.59517452289484,335.05542268963245,a
176.72711746434553,420.38481146482184,a
167.43431734663605,403.1516031475252,a
200.33690035880468,383.7880940563273,a
190.7580436089037,350.2154562599012,a
204.7695709720143,362.51142687283044,a
209.07817237360123,338.6157681180482,a
228.91941109702643,388.1138748320497,a
189.74177062395233,366.9074177071744,a
213.79363677257473,383.59550486981755,a
254.24912765655571,348.66884818614903,a
277.56723516953923,393.39911708531474,a
226.5878836491815,404.7627012084387,a
320.5969533047215,362.42879597844694,a
217.66426416446785,327.2330045144106,a
226.25409360480563,310.04062782691636,a
289.76983371028007,356.0296896653807,a
215.54928158398712,359.8526157827347,a
270.6446843951958,385.6581052828156,a
275.4378342555004,379.31762046653563,a
235.6747206658973,331.52094228323483,a
283.67862217237735,363.97069902877155,a
323.68523365473425,330.4161936613066,a
288.05977430638734,351.7415914098408,a
271.2796661689931,376.3863163549492,a
293.38210826140556,325.8015854254762,a
261.2820870984644,317.5798849372289,a
305.3435081223379,319.12155641175787,a
293.0767325860439,249.00080989913994,a
339.65403023375836,266.45363432487636,a
317.9467594268958,341.05119600025466,a
343.1451841565023,293.15045006669584,a
281.2769359220838,257.4532473484021,a
324.26952507909465,339.5370596184989,a
276.2275832831443,271.60378242780973,a
329.31541845507456,241.18036055305595,a
336.8501420818647,265.90280548863825,a
354.67249175073664,290.14483425115225,a
346.1832569516504,273.76912469217586,a
362.3104599611572,240.82393383587169,a
375.932930831973,294.38143370080576,a
369.6387014947927,261.54926769428585,a
346.9903957815875,241.32701187684188,a
344.7217826657114,289.092522207689,a
373.1670537795235,296.6804114304445,a
362.882277785232,256.0199179907996,a
364.5018725597561,268.5754772070644,a
340.6195190533038,270.86303431665374,a
390.3003349811065,203.86650912869823,a
389.8389172430582,268.36803135124717,a
401.4413239992245,259.2397051782762,a
468.65130526806405,244.79652749931185,a
399.88604921481397,265.08057034186197,a
408.0930314369596,277.44611689235245,a
418.6743415627644,235.8300170552721,a
419.5244848010688,250.62439599061744,a
420.03287218612166,258.1996234893528,a
424.3791201677779,294.52831244925903,a
444.68029958612533,297.0072774884612,a
402.0557549617048,258.698539180784,a
450.0126006507601,288.67367322180826,a
397.3485528437716,269.1782518823761,a
447.250635181909,284.17837993811213,a
391.9265435640518,273.66032376186183,a
443.19770975888696,285.0247908976797,a
436.95585382184106,284.3085463939395,a
470.224850443122,227.74828776817765,a
407.32503716581857,284.2751657359437,a
482.3486267201887,267.2942480101476,a
488.6224675256908,266.0071923743177,a
501.18498333287516,299.9639572513291,a
479.7772310321117,318.3962033265865,a
468.9485679892607,264.73924471295,a
463.80428424653326,277.3997515452227,a
483.71404052884,300.0410482473585,a
539.6166102756774,296.0643654217267,a
518.8185000159269,273.3799107253501,a
506.1622951634746,251.14018207041633,a
549.2511139738875,308.74283661055057,a
552.2960558639697,251.95969338343428,a
534.2669876145386,230.6711219337194,a
543.9073601704182,274.51098118575555,a
563.3966221660517,223.47564653033726,a
574.8590089090228,248.2163879466311,a
579.065140109965,217.46482047096845,a
547.0037651671915,275.0797230590093,a
582.8514849955795,268.5123609861436,a
577.0825178706327,218.42916763703067,a
659.1077916997539,279.09073475180094,a
598.5878850969576,233.71778325851494,a
599.1466359964401,214.29705542815924,a
624.4267799064473,232.31576178710446,a
592.4648032871971,225.4222516048385,a
640.4603525977203,216.93987891759218,a
623.769329693941,214.83608610281067,a
630.8705222226449,192.97382520987844,a
650.9901643686345,228.17869903245128,a
641.5386217628693,213.56867090964812,a
625.8201556553298,190.51323733017392,a
628.1713016800609,172.1918438970664,a
660.4526806852276,204.24627538628124,a
625.7940105942791,211.84459942773913,a
612.7605796440961,198.17343900160841,a
593.4302523942744,156.10874337584892,a
633.7949769471527,140.69675516010648,a
662.076067298045,181.70803419095864,a
627.5817898711986,186.7248177467808,a
602.003344520934,204.37287303964962,a
634.6975865138736,167.8126178104527,a
671.0891818953094,218.2305462249402,a
637.833138993494,184.58625805389283,a
636.9552354667653,192.60602643391002,a
683.8837778039779,142.8601489188075,a
714.9088769714544,121.48753665476761,a
87.44155421484558,180.11498888154887,a
115.23072454618814,197.01803532972804,a
95.68999766423221,213.92376086219218,a
81.15288925709169,186.96343000887737,a
69.8321826288543,214.77387238592326,a
46.2976187756164,188.20896695820625,a
50.94802507418902,133.55436629840852,a
84.95441303287778,218.93214794946192,a
123.48490426644445,165.82752015933136,a
79.7264063269367,166.10589353779733,a
119.2329530616629,172.0136616103464,a
652.3467879093575,198.22005570873966,a
652.205983347551,156.55536280583766,a
682.5176154306494,159.99068055965273,a
707.3054541534365,176.4196965609275,a
692.3369747475616,141.30471404683726,a
657.5795928284667,135.55890473340622,a
664.211723377291,169.82193088623023,a
686.5772727515935,166.91600390065105,a
644.7508505460514,114.74222160403457,a
645.865348547494,186.4693399042248,a
661.3098025173606,151.83995231641774,a
662.1364548097491,145.84670994768487,a
733.143496326521,162.79696299932345,a
681.0069403159354,168.68376526280645,a
673.5825254707759,160.88693143324883,a
678.2711565952845,137.8616489851667,a
646.9805971368098,131.09847019537818,a
681.3542294158137,150.8815647322901,a
645.592513413078,188.3662636775498,a
336.3837354309228,245.75935912566462,a
353.2559483788943,281.95557701232275,a
361.2442052570636,281.69047366553696,a
340.7474970946149,283.2080927387854,a
299.708315600131,302.3100350043077,a
299.7599296580865,315.54464443507004,a
342.1274330788661,354.37011898075025,a
315.01069889211914,289.8619367675652,a
275.3117890024259,259.74525867004,a
317.5651682960598,272.56257751390604,a
291.8477063350684,289.70947457417583,a
344.75474658778035,261.7704551479312,a
293.9740483785963,239.8972663360003,a
274.3719109679635,314.79351380508035,a
78.6351043110093,213.41094772864005,a
85.43918443702299,179.97548283558422,a
92.66504574031944,145.19551287182162,a
69.24866382838925,213.48728050434067,a
116.96239894236385,157.98001651727566,a
68.64418886380422,176.90630640715324,a
82.44414709487368,174.12597598627542,a
43.12613059402559,172.6148847975707,a
72.26460691035292,190.08161313174787,a
84.19248724272776,187.93445494208248,a
47.84060547982334,160.9376374117831,a
81.11686945629661,169.4179431202304,a
51.667191627677276,190.91068208612813,a
60.59984168428028,154.27790974565232,a
81.78079637601678,108.20248177999184,a
78.45600660207539,172.4595168315879,a
56.03026990481252,164.3983462392381,a
13.263015452323557,206.60911309618734,a
38.10353510934076,132.82256420250837,a
62.88810979841748,152.64113381053392,a
109.59804461825632,192.7136921847503,a
109.34500895229174,244.5328525722371,a
114.49501298408549,191.83634486765084,a
80.57036785200273,219.31838045819245,a
106.03535096576704,287.2727520437892,a
129.21831786211905,183.818086180023,a
104.64361008745367,268.55324421518907,a
136.70629310582248,250.1909764960493,a
70.27595480425097,278.98673218977535,a
82.973986999046,299.3146052215704,a
158.74033885151962,293.2668300670965,a
155.09082118738507,284.3807734019895,a
